Name, Sex,Birthplace, CityofBirth, State, Age, DOB,Ethnicity, SexualOrientation, Religion, AwardCategory, Movie, Year, NumberofAwards, Country
Lewis Milestone,Male,"Chisinau, Moldova",NA,NA,35,9/30/1895,White,Straight,NA,Director,Two Arabian Knights,1929,2,Moldova
Emil Jannings,Male,"Rorschach, Switzerland",NA,NA,45,7/23/1884,White,Bisexual,NA,Actor,The Last Command,1929,1,Switzerland
Frank Borzage,Male,"Salt Lake City, Utah, United States","Salt Lake City, UT",Utah,35,4/23/1894,White,Straight,Roman Catholic,Director,7th Heaven,1929,2,United States
Janet Gaynor,Female,"Philadelphia, Pennsylvania, United States","Philadelphia, PA",Pennsylvania,23,10/6/2006,White,Straight,NA,Actor,7th Heaven,1929,1,United States
Frank Lloyd,Male,"Glasgow, United Kingdom",NA,NA,44,2/2/1886,White,Straight,NA,Director,The Divine Lady,1930,2,United Kingdom
Mary Pickford,Female,"Toronto, Canada",NA,NA,38,4/8/1892,White,Straight,NA,Actor,Coquette,1930,1,Canada
Warner Baxter,Male,"Columbus, Ohio, United States","Columbus, OH",Ohio,41,3/29/1889,White,Straight,NA,Actor,In Old Arizona,1930,1,United States
George Arliss,Male,"London, United Kingdom",NA,NA,62,4/10/1868,White,Straight,NA,Actor,Desraeli,1931,1,United Kingdom
Lewis Milestone,Male,"Chisinau, Moldova",NA,NA,32,9/30/1895,White,Straight,NA,Director,All Quiet on the Western Front,1931,2,Moldova
Norma Shearer,Female,"Montreal, Canada",NA,NA,28,8/10/1902,White,Straight,NA,Actor,The Divorcee,1931,1,Canada
Lionel Barrymore,Male,"Philadelphia, Pennsylvania, United States","Philadelphia, PA",Pennsylvania,53,4/28/1878,White,Straight,Roman Catholic,Actor,A Free Soul,1932,1,United States
Marie Dressler,Female,"Cobourg, Canada",NA,NA,63,11/2/1868,White,Straight,NA,Actor,Min and Bill,1932,1,Canada
Norman Taurog,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,33,2/23/1899,White,Straight,NA,Director,Skippy,1932,1,United States
Helen Hayes,Female,"Washington, United States","Washington, DC",District of Columbia,32,10/10/1900,White,Straight,NA,Actor,The Sin of Madelon Claudet,1933,2,United States
Wallace Beery,Male,"Kansas City, Missouri, United States","Kansas City, MO",Missouri,47,4/1/1885,White,Straight,NA,Actor,The Champ,1933,1,United States
