SalePrice,Neighborhood,LotArea,YrBuilt,HouseStyle,Foundation,RoofMatl,Ext1,Heating,Central Air,TtlBsmtSF,TotRmsAbvGrd,GarageType,Cars,GarageArea,NmbrBRs,YrSold_YYYY,MoSold_MM,SaleDate
269900,Gilbert,83790,1949,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1327,7,Attachd,2,1048,2,2014,8,2014-08-01
215000,N Ames,36502,1966,1-Story,C'Block,WdShake,Wd Sdng,GasFWA,Yes,1232,5,Attachd,2,572,2,2013,8,2013-08-01
220000,N Ames,21997,1966,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1653,6,Attachd,2,559,3,2014,6,2014-06-01
129900,N Ames,8807,1956,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1008,7,Attachd,1,325,3,2012,12,2012-12-01
151000,N Ames,63475,1956,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1293,6,Attachd,2,462,2,2014,6,2014-06-01
237500,N Ames,13404,1957,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1134,5,Attachd,2,484,2,2012,6,2012-06-01
129000,N Ames,23809,1960,1-Story,Slab,CompShg,Wd Sdng,GasFWA,Yes,0,8,Attachd,2,735,4,2012,7,2012-07-01
178200,N Ames,11029,1958,1-Story,C'Block,CompShg,MetalSd,GasFWA,Yes,1184,6,Attachd,2,601,3,2012,11,2012-11-01
232000,N Ames,11075,1969,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1681,7,Attachd,2,572,3,2014,8,2014-08-01
270000,N Ames,13010,1974,1-Story,P'Conc,WdShake,BrkFace,GasFWA,Yes,1742,7,Attachd,2,627,2,2014,4,2014-04-01
159000,Blmngtn,4693,2000,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1055,5,Attachd,2,439,2,2013,8,2013-08-01
137500,Blmngtn,4693,1999,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1055,5,Attachd,2,439,2,2012,7,2012-07-01
138000,Blmngtn,4693,1999,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,638,5,BuiltIn,2,429,1,2013,4,2013-04-01
137000,Blmngtn,4693,1999,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,638,5,BuiltIn,2,429,1,2012,7,2012-07-01
125000,Blmngtn,4693,1999,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1055,5,Attachd,2,439,2,2014,1,2014-01-01
149500,Blmngtn,4693,1999,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,660,5,BuiltIn,2,429,2,2013,4,2013-04-01
144000,Blmngtn,4693,1999,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1055,5,Attachd,2,439,2,2013,5,2013-05-01
231500,Stonebr,5200,1996,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1545,6,Attachd,2,499,2,2014,4,2014-04-01
320000,Stonebr,6199,1993,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1812,5,Attachd,3,768,2,2014,7,2014-07-01
255000,Stonebr,5039,1994,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1471,5,Attachd,2,568,2,2013,9,2013-09-01
260000,Stonebr,5054,1994,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1750,5,Attachd,2,499,2,2012,8,2012-08-01
225000,Stonebr,5154,1994,2-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1290,6,Attachd,2,524,3,2012,8,2012-08-01
230000,Stonebr,5154,1996,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1142,4,Attachd,2,499,1,2014,6,2014-06-01
174000,Gilbert,2812,1996,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1296,5,Attachd,2,400,2,2012,5,2012-05-01
170000,Gilbert,2812,1998,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1314,5,Attachd,2,410,2,2013,7,2013-07-01
105000,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,1,224,2,2012,9,2012-09-01
128000,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,2,419,2,2012,12,2012-12-01
120000,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,2,419,2,2012,9,2012-09-01
109250,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,1,224,2,2013,5,2013-05-01
67000,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2013,8,2013-08-01
127000,Blmngtn,4693,1996,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,2,419,2,2013,5,2013-05-01
121900,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2014,7,2014-07-01
112000,Blmngtn,4693,1998,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2013,9,2013-09-01
109500,Blmngtn,4693,1998,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,BuiltIn,1,224,2,2012,3,2012-03-01
108250,Blmngtn,4693,1998,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2012,1,2012-01-01
120000,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2012,8,2012-08-01
