key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year,won
2138.AUS.2012,AUS,1,10230,2138,0,Not Seeded,Greta Arn,2,0,18,2,4,36,66,33,2,3,24,62,3,73,60,48,29,NA,66,NA,NA,NA,0.666666667,0.727272727,0,0.545454545,2,1,1
2115.AUS.2012,AUS,1,10334,2115,0,Not Seeded,Sofia Arvidsson,2,0,16,8,1,26,53,38,1,3,20,67,29,53,32,40,25,100,53,100.662102,93.20565,73.943149,0.275862069,0.754716981,7,0.490566038,2,1,0
2122.AUS.2012,AUS,1,20458,2122,0,Not Seeded,Alberta Brianti,2,0,20,1,7,39,82,46,1,4,27,62,4,59,43,54,50,NA,82,NA,NA,NA,0.25,0.658536585,0,0.475609756,2,1,1
2110.AUS.2012,AUS,1,20556,2110,0,Not Seeded,Elena Baltacha,2,0,18,1,0,36,62,36,1,3,24,58,3,67,46,36,0,NA,62,NA,NA,NA,0.333333333,0.580645161,0,0.580645161,2,1,0
2123.AUS.2012,AUS,1,20576,2123,0,Not Seeded,Iveta Benesova,3,0,27,3,5,55,93,57,3,3,32,59,3,56,59,45,56,NA,93,NA,NA,NA,1,0.483870968,0,0.591397849,2,1,1
2113.AUS.2012,AUS,1,20596,2113,0,Not Seeded,Eva Birnerova,2,0,18,0,4,31,57,48,0,10,23,66,10,48,32,45,67,NA,57,NA,NA,NA,0,0.789473684,0,0.543859649,2,0,0
2156.AUS.2012,AUS,1,20631,2156,9,Seeded,Marion Bartoli,2,0,18,17,6,34,68,32,7,5,25,59,21,78,41,55,46,100,68,109.361296,101.904844,91.962908,0.80952381,0.808823529,10,0.5,2,1,1
2121.AUS.2012,AUS,1,20693,2121,0,Not Seeded,Nina Bratchikova,3,0,24,2,5,44,79,39,2,4,30,53,4,77,40,47,56,NA,79,NA,NA,NA,0.5,0.594936709,0,0.556962025,2,1,1
2158.AUS.2012,AUS,1,20702,2158,0,Not Seeded,Kateryna Bondarenko,2,1,22,0,3,41,67,48,0,5,33,64,5,69,30,36,75,NA,67,NA,NA,NA,0,0.537313433,0,0.611940299,2,1,0
2109.AUS.2012,AUS,1,30458,2109,11,Seeded,Kim Clijsters,2,0,19,10,3,43,69,36,3,7,29,59,25,81,56,46,43,50,69,109.361296,101.283473,88.856053,0.4,0.666666667,7,0.623188406,2,1,1
2120.AUS.2012,AUS,1,30562,2120,32,Seeded,Petra Cetkovska,3,0,28,24,9,38,89,48,2,3,30,63,32,63,29,55,56,80,89,100.040731,91.341537,80.156859,0.75,0.617977528,22,0.426966292,2,1,1
2127.AUS.2012,AUS,1,40130,2127,0,Not Seeded,Kimiko Date-Krumm,2,0,17,18,2,29,44,41,0,6,23,66,43,56,29,32,100,50,44,91.962908,83.263714,69.593552,0.418604651,0.727272727,18,0.659090909,2,0,0
2160.AUS.2012,AUS,1,40300,2160,0,Not Seeded,Lourdes Dominguez,2,0,15,7,0,27,39,25,0,0,12,43,15,48,45,27,0,55,39,101.283473,91.962908,70.214923,0.466666667,0.692307692,7,0.692307692,2,1,0
2127.AUS.2012,AUS,1,40313,2127,0,Not Seeded,Eleni Daniilidou,2,0,17,13,5,32,65,29,0,6,25,62,14,86,39,53,56,57,65,104.390328,86.99194,80.156859,0.928571429,0.815384615,13,0.492307692,2,1,1
2155.AUS.2012,AUS,1,40344,2155,0,Not Seeded,Jelena Dokic,2,0,15,12,4,33,57,22,2,3,19,50,13,86,64,52,44,50,57,104.390328,96.933876,84.506456,0.923076923,0.912280702,10,0.578947368,2,1,1
