count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
2165,Flinders Street Station Underpass,2013-01-01,0,Tues,Jan,not,not,none
2562,Melbourne Central,2013-01-01,0,Tues,Jan,not,not,none
1357,Flinders Street Station Underpass,2013-01-01,1,Tues,Jan,not,not,none
2925,Melbourne Central,2013-01-01,1,Tues,Jan,not,not,none
1867,Flinders Street Station Underpass,2013-01-01,2,Tues,Jan,not,not,none
1532,Melbourne Central,2013-01-01,2,Tues,Jan,not,not,none
1158,Flinders Street Station Underpass,2013-01-01,3,Tues,Jan,not,not,none
802,Melbourne Central,2013-01-01,3,Tues,Jan,not,not,none
438,Flinders Street Station Underpass,2013-01-01,4,Tues,Jan,not,not,none
340,Melbourne Central,2013-01-01,4,Tues,Jan,not,not,none
209,Flinders Street Station Underpass,2013-01-01,5,Tues,Jan,not,not,none
115,Melbourne Central,2013-01-01,5,Tues,Jan,not,not,none
163,Flinders Street Station Underpass,2013-01-01,6,Tues,Jan,not,not,none
119,Melbourne Central,2013-01-01,6,Tues,Jan,not,not,none
170,Flinders Street Station Underpass,2013-01-01,7,Tues,Jan,not,not,none
85,Melbourne Central,2013-01-01,7,Tues,Jan,not,not,none
169,Flinders Street Station Underpass,2013-01-01,8,Tues,Jan,not,not,none
150,Melbourne Central,2013-01-01,8,Tues,Jan,not,not,none
292,Flinders Street Station Underpass,2013-01-01,9,Tues,Jan,not,not,none
299,Melbourne Central,2013-01-01,9,Tues,Jan,not,not,none
510,Flinders Street Station Underpass,2013-01-01,10,Tues,Jan,not,not,none
735,Melbourne Central,2013-01-01,10,Tues,Jan,not,not,none
807,Flinders Street Station Underpass,2013-01-01,11,Tues,Jan,not,not,none
588,Melbourne Central,2013-01-01,11,Tues,Jan,not,not,none
984,Flinders Street Station Underpass,2013-01-01,12,Tues,Jan,not,not,none
1630,Melbourne Central,2013-01-01,12,Tues,Jan,not,not,none
1051,Flinders Street Station Underpass,2013-01-01,13,Tues,Jan,not,not,none
2118,Melbourne Central,2013-01-01,13,Tues,Jan,not,not,none
1226,Flinders Street Station Underpass,2013-01-01,14,Tues,Jan,not,not,none
2191,Melbourne Central,2013-01-01,14,Tues,Jan,not,not,none
1235,Flinders Street Station Underpass,2013-01-01,15,Tues,Jan,not,not,none
2557,Melbourne Central,2013-01-01,15,Tues,Jan,not,not,none
1146,Flinders Street Station Underpass,2013-01-01,16,Tues,Jan,not,not,none
2193,Melbourne Central,2013-01-01,16,Tues,Jan,not,not,none
1048,Flinders Street Station Underpass,2013-01-01,17,Tues,Jan,not,not,none
2079,Melbourne Central,2013-01-01,17,Tues,Jan,not,not,none
1013,Flinders Street Station Underpass,2013-01-01,18,Tues,Jan,not,not,none
1893,Melbourne Central,2013-01-01,18,Tues,Jan,not,not,none
831,Flinders Street Station Underpass,2013-01-01,19,Tues,Jan,not,not,none
1748,Melbourne Central,2013-01-01,19,Tues,Jan,not,not,none
721,Flinders Street Station Underpass,2013-01-01,20,Tues,Jan,not,not,none
1686,Melbourne Central,2013-01-01,20,Tues,Jan,not,not,none
597,Flinders Street Station Underpass,2013-01-01,21,Tues,Jan,not,not,none
1301,Melbourne Central,2013-01-01,21,Tues,Jan,not,not,none
614,Flinders Street Station Underpass,2013-01-01,22,Tues,Jan,not,not,none
922,Melbourne Central,2013-01-01,22,Tues,Jan,not,not,none
444,Flinders Street Station Underpass,2013-01-01,23,Tues,Jan,not,not,none
562,Melbourne Central,2013-01-01,23,Tues,Jan,not,not,none
195,Flinders Street Station Underpass,2013-01-02,0,Wed,Jan,not,not,none
214,Melbourne Central,2013-01-02,0,Wed,Jan,not,not,none
98,Flinders Street Station Underpass,2013-01-02,1,Wed,Jan,not,not,none
93,Melbourne Central,2013-01-02,1,Wed,Jan,not,not,none
30,Flinders Street Station Underpass,2013-01-02,2,Wed,Jan,not,not,none
33,Melbourne Central,2013-01-02,2,Wed,Jan,not,not,none
