stn_id,date,variable,value,X5,X6,X7,X8
ASN00086071,20130101,TMAX,253,NA,NA,a,NA
ASN00086071,20130101,TMIN,154,NA,NA,a,NA
ASN00086071,20130101,PRCP,0,NA,NA,a,NA
ASN00086071,20130102,TMAX,222,NA,NA,a,NA
ASN00086071,20130102,TMIN,153,NA,NA,a,NA
ASN00086071,20130102,PRCP,0,NA,NA,a,NA
ASN00086071,20130103,TMAX,371,NA,NA,a,NA
ASN00086071,20130103,TMIN,137,NA,NA,a,NA
ASN00086071,20130103,PRCP,0,NA,NA,a,NA
ASN00086071,20130104,TMAX,411,NA,NA,a,NA
ASN00086071,20130104,TMIN,195,NA,NA,a,NA
ASN00086071,20130104,PRCP,0,NA,NA,a,NA
ASN00086071,20130105,TMAX,257,NA,NA,a,NA
ASN00086071,20130105,TMIN,200,NA,NA,a,NA
ASN00086071,20130105,PRCP,0,NA,NA,a,NA
ASN00086071,20130106,TMAX,257,NA,NA,a,NA
ASN00086071,20130106,TMIN,167,NA,NA,a,NA
ASN00086071,20130106,PRCP,0,NA,NA,a,NA
ASN00086071,20130107,TMAX,303,NA,NA,a,NA
ASN00086071,20130107,TMIN,162,NA,NA,a,NA
ASN00086071,20130107,PRCP,0,NA,NA,a,NA
ASN00086071,20130108,TMAX,303,NA,NA,a,NA
ASN00086071,20130108,TMIN,183,NA,NA,a,NA
ASN00086071,20130108,PRCP,0,NA,NA,a,NA
ASN00086071,20130109,TMAX,210,NA,NA,a,NA
ASN00086071,20130109,TMIN,131,NA,NA,a,NA
ASN00086071,20130109,PRCP,2,NA,NA,a,NA
ASN00086071,20130110,TMAX,272,NA,NA,a,NA
ASN00086071,20130110,TMIN,142,NA,NA,a,NA
ASN00086071,20130110,PRCP,2,NA,NA,a,NA
ASN00086071,20130111,TMAX,394,NA,NA,a,NA
ASN00086071,20130111,TMIN,173,NA,NA,a,NA
ASN00086071,20130111,PRCP,0,NA,NA,a,NA
ASN00086071,20130112,TMAX,241,NA,NA,a,NA
ASN00086071,20130112,TMIN,166,NA,NA,a,NA
ASN00086071,20130112,PRCP,0,NA,NA,a,NA
ASN00086071,20130113,TMAX,208,NA,NA,a,NA
ASN00086071,20130113,TMIN,162,NA,NA,a,NA
ASN00086071,20130113,PRCP,0,NA,NA,a,NA
ASN00086071,20130114,TMAX,218,NA,NA,a,NA
ASN00086071,20130114,TMIN,141,NA,NA,a,NA
ASN00086071,20130114,PRCP,0,NA,NA,a,NA
ASN00086071,20130115,TMAX,277,NA,NA,a,NA
ASN00086071,20130115,TMIN,125,NA,NA,a,NA
ASN00086071,20130115,PRCP,0,NA,NA,a,NA
ASN00086071,20130116,TMAX,255,NA,NA,a,NA
ASN00086071,20130116,TMIN,149,NA,NA,a,NA
ASN00086071,20130116,PRCP,0,NA,NA,a,NA
ASN00086071,20130117,TMAX,408,NA,NA,a,NA
ASN00086071,20130117,TMIN,156,NA,NA,a,NA
ASN00086071,20130117,PRCP,0,NA,NA,a,NA
ASN00086071,20130118,TMAX,259,NA,NA,a,NA
ASN00086071,20130118,TMIN,205,NA,NA,a,NA
ASN00086071,20130118,PRCP,0,NA,NA,a,NA
ASN00086071,20130119,TMAX,230,NA,NA,a,NA
ASN00086071,20130119,TMIN,169,NA,NA,a,NA
ASN00086071,20130119,PRCP,0,NA,NA,a,NA
ASN00086071,20130120,TMAX,250,NA,NA,a,NA
ASN00086071,20130120,TMIN,145,NA,NA,a,NA
ASN00086071,20130120,PRCP,0,NA,NA,a,NA
ASN00086071,20130121,TMAX,257,NA,NA,a,NA
ASN00086071,20130121,TMIN,171,NA,NA,a,NA
ASN00086071,20130121,PRCP,0,NA,NA,a,NA
ASN00086071,20130122,TMAX,263,NA,NA,a,NA
ASN00086071,20130122,TMIN,179,NA,NA,a,NA
ASN00086071,20130122,PRCP,0,NA,NA,a,NA
ASN00086071,20130123,TMAX,246,NA,NA,a,NA
ASN00086071,20130123,TMIN,165,NA,NA,a,NA
ASN00086071,20130123,PRCP,0,NA,NA,a,NA
ASN00086071,20130124,TMAX,366,NA,NA,a,NA
ASN00086071,20130124,TMIN,150,NA,NA,a,NA
ASN00086071,20130124,PRCP,0,NA,NA,a,NA
ASN00086071,20130125,TMAX,274,NA,NA,a,NA
ASN00086071,20130125,TMIN,194,NA,NA,a,NA
ASN00086071,20130125,PRCP,0,NA,NA,a,NA
ASN00086071,20130126,TMAX,217,NA,NA,a,NA
ASN00086071,20130126,TMIN,163,NA,NA,a,NA
ASN00086071,20130127,TMAX,241,NA,NA,a,NA
ASN00086071,20130127,TMIN,150,NA,NA,a,NA
ASN00086071,20130128,TMAX,244,NA,NA,a,NA
ASN00086071,20130128,TMIN,159,NA,NA,a,NA
ASN00086071,20130129,TMAX,217,NA,NA,a,NA
ASN00086071,20130129,TMIN,145,NA,NA,a,NA
ASN00086071,20130129,PRCP,40,NA,NA,a,NA
ASN00086071,20130130,TMAX,291,NA,NA,a,NA
ASN00086071,20130130,TMIN,122,NA,NA,a,NA
ASN00086071,20130130,PRCP,0,NA,NA,a,NA
ASN00086071,20130131,TMAX,247,NA,NA,a,NA
ASN00086071,20130131,TMIN,162,NA,NA,a,NA
ASN00086071,20130131,PRCP,0,NA,NA,a,NA
ASN00086071,20130201,TMAX,211,NA,NA,a,NA
ASN00086071,20130201,TMIN,122,NA,NA,a,NA
ASN00086071,20130201,PRCP,258,NA,NA,a,NA
ASN00086071,20130202,TMAX,218,NA,NA,a,NA
ASN00086071,20130202,TMIN,139,NA,NA,a,NA
ASN00086071,20130203,TMAX,261,NA,NA,a,NA
ASN00086071,20130203,TMIN,161,NA,NA,a,NA
ASN00086071,20130204,TMAX,227,NA,NA,a,NA
ASN00086071,20130204,TMIN,172,NA,NA,a,NA
ASN00086071,20130204,PRCP,2,NA,NA,a,NA
ASN00086071,20130205,TMAX,289,NA,NA,a,NA
ASN00086071,20130205,TMIN,159,NA,NA,a,NA
ASN00086071,20130205,PRCP,0,NA,NA,a,NA
ASN00086071,20130206,TMAX,372,NA,NA,a,NA
ASN00086071,20130206,TMIN,161,NA,NA,a,NA
ASN00086071,20130206,PRCP,0,NA,NA,a,NA
ASN00086071,20130207,TMAX,309,NA,NA,a,NA
ASN00086071,20130207,TMIN,201,NA,NA,a,NA
ASN00086071,20130207,PRCP,0,NA,NA,a,NA
ASN00086071,20130208,TMAX,300,NA,NA,a,NA
ASN00086071,20130208,TMIN,181,NA,NA,a,NA
ASN00086071,20130208,PRCP,0,NA,NA,a,NA
ASN00086071,20130209,TMAX,302,NA,NA,a,NA
ASN00086071,20130209,TMIN,165,NA,NA,a,NA
ASN00086071,20130210,TMAX,235,NA,NA,a,NA
ASN00086071,20130210,TMIN,156,NA,NA,a,NA
ASN00086071,20130211,TMAX,257,NA,NA,a,NA
ASN00086071,20130211,TMIN,159,NA,NA,a,NA
ASN00086071,20130211,PRCP,2,NA,NA,a,NA
ASN00086071,20130212,TMAX,260,NA,NA,a,NA
ASN00086071,20130212,TMIN,162,NA,NA,a,NA
ASN00086071,20130212,PRCP,0,NA,NA,a,NA
ASN00086071,20130213,TMAX,327,NA,NA,a,NA
ASN00086071,20130213,TMIN,157,NA,NA,a,NA
ASN00086071,20130213,PRCP,0,NA,NA,a,NA
ASN00086071,20130214,TMAX,330,NA,NA,a,NA
ASN00086071,20130214,TMIN,188,NA,NA,a,NA
ASN00086071,20130214,PRCP,0,NA,NA,a,NA
ASN00086071,20130215,TMAX,314,NA,NA,a,NA
ASN00086071,20130215,TMIN,197,NA,NA,a,NA
ASN00086071,20130215,PRCP,0,NA,NA,a,NA
ASN00086071,20130216,TMAX,354,NA,NA,a,NA
ASN00086071,20130216,TMIN,195,NA,NA,a,NA
ASN00086071,20130216,PRCP,0,NA,NA,a,NA
ASN00086071,20130217,TMAX,357,NA,NA,a,NA
ASN00086071,20130217,TMIN,198,NA,NA,a,NA
ASN00086071,20130217,PRCP,0,NA,NA,a,NA
ASN00086071,20130218,TMAX,367,NA,NA,a,NA
ASN00086071,20130218,TMIN,212,NA,NA,a,NA
ASN00086071,20130218,PRCP,0,NA,NA,a,NA
ASN00086071,20130219,TMAX,210,NA,NA,a,NA
ASN00086071,20130219,TMIN,205,NA,NA,a,NA
ASN00086071,20130219,PRCP,4,NA,NA,a,NA
ASN00086071,20130220,TMAX,295,NA,NA,a,NA
ASN00086071,20130220,TMIN,158,NA,NA,a,NA
ASN00086071,20130220,PRCP,4,NA,NA,a,NA
ASN00086071,20130221,TMAX,318,NA,NA,a,NA
ASN00086071,20130221,TMIN,173,NA,NA,a,NA
ASN00086071,20130221,PRCP,0,NA,NA,a,NA
ASN00086071,20130222,TMAX,326,NA,NA,a,NA
ASN00086071,20130222,TMIN,207,NA,NA,a,NA
ASN00086071,20130222,PRCP,2,NA,NA,a,NA
ASN00086071,20130223,TMAX,321,NA,NA,a,NA
ASN00086071,20130223,TMIN,194,NA,NA,a,NA
ASN00086071,20130223,PRCP,0,NA,NA,a,NA
ASN00086071,20130224,TMAX,343,NA,NA,a,NA
ASN00086071,20130224,TMIN,194,NA,NA,a,NA
ASN00086071,20130224,PRCP,0,NA,NA,a,NA
ASN00086071,20130225,TMAX,297,NA,NA,a,NA
ASN00086071,20130225,TMIN,222,NA,NA,a,NA
ASN00086071,20130225,PRCP,0,NA,NA,a,NA
ASN00086071,20130226,TMAX,275,NA,NA,a,NA
ASN00086071,20130226,TMIN,173,NA,NA,a,NA
ASN00086071,20130226,PRCP,0,NA,NA,a,NA
ASN00086071,20130227,TMAX,276,NA,NA,a,NA
ASN00086071,20130227,TMIN,177,NA,NA,a,NA
ASN00086071,20130227,PRCP,270,NA,NA,a,NA
ASN00086071,20130228,TMAX,214,NA,NA,a,NA
ASN00086071,20130228,TMIN,142,NA,NA,a,NA
ASN00086071,20130228,PRCP,78,NA,NA,a,NA
ASN00086071,20130301,TMAX,251,NA,NA,a,NA
ASN00086071,20130301,TMIN,144,NA,NA,a,NA
ASN00086071,20130301,PRCP,4,NA,NA,a,NA
ASN00086071,20130302,TMAX,269,NA,NA,a,NA
ASN00086071,20130302,TMIN,149,NA,NA,a,NA
ASN00086071,20130302,PRCP,0,NA,NA,a,NA
ASN00086071,20130303,TMAX,291,NA,NA,a,NA
ASN00086071,20130303,TMIN,139,NA,NA,a,NA
ASN00086071,20130303,PRCP,0,NA,NA,a,NA
ASN00086071,20130304,TMAX,327,NA,NA,a,NA
ASN00086071,20130304,TMIN,173,NA,NA,a,NA
ASN00086071,20130304,PRCP,0,NA,NA,a,NA
ASN00086071,20130305,TMAX,336,NA,NA,a,NA
ASN00086071,20130305,TMIN,180,NA,NA,a,NA
ASN00086071,20130305,PRCP,0,NA,NA,a,NA
ASN00086071,20130306,TMAX,338,NA,NA,a,NA
ASN00086071,20130306,TMIN,188,NA,NA,a,NA
ASN00086071,20130306,PRCP,0,NA,NA,a,NA
ASN00086071,20130307,TMAX,355,NA,NA,a,NA
ASN00086071,20130307,TMIN,220,NA,NA,a,NA
ASN00086071,20130307,PRCP,0,NA,NA,a,NA
ASN00086071,20130308,TMAX,330,NA,NA,a,NA
ASN00086071,20130308,TMIN,211,NA,NA,a,NA
ASN00086071,20130308,PRCP,0,NA,NA,a,NA
ASN00086071,20130309,TMAX,358,NA,NA,a,NA
ASN00086071,20130309,TMIN,219,NA,NA,a,NA
ASN00086071,20130309,PRCP,0,NA,NA,a,NA
ASN00086071,20130310,TMAX,354,NA,NA,a,NA
ASN00086071,20130310,TMIN,233,NA,NA,a,NA
ASN00086071,20130310,PRCP,0,NA,NA,a,NA
ASN00086071,20130311,TMAX,371,NA,NA,a,NA
ASN00086071,20130311,TMIN,206,NA,NA,a,NA
ASN00086071,20130311,PRCP,0,NA,NA,a,NA
ASN00086071,20130312,TMAX,362,NA,NA,a,NA
ASN00086071,20130312,TMIN,223,NA,NA,a,NA
ASN00086071,20130312,PRCP,0,NA,NA,a,NA
ASN00086071,20130313,TMAX,272,NA,NA,a,NA
ASN00086071,20130313,TMIN,265,NA,NA,a,NA
ASN00086071,20130313,PRCP,0,NA,NA,a,NA
ASN00086071,20130314,TMAX,242,NA,NA,a,NA
ASN00086071,20130314,TMIN,161,NA,NA,a,NA
ASN00086071,20130314,PRCP,2,NA,NA,a,NA
ASN00086071,20130315,TMAX,239,NA,NA,a,NA
ASN00086071,20130315,TMIN,178,NA,NA,a,NA
ASN00086071,20130315,PRCP,0,NA,NA,a,NA
ASN00086071,20130316,TMAX,230,NA,NA,a,NA
ASN00086071,20130316,TMIN,170,NA,NA,a,NA
ASN00086071,20130317,TMAX,199,NA,NA,a,NA
